训练迭代数,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
Syft,15.58%,29.12%,30.46%,42.83%,41.36%,63.76%,75.77%,62.53%,73.41%,88.22%,85.18%,91.06%,90.71%,90.17%,91.98%,93.10%,91.50%,93.46%,92.26%,93.11%,93.82%,94.60%,93.91%,94.35%,94.32%,95.07%,94.69%,95.25%,95.42%,95.50%,95.83%,95.97%,95.98%,95.85%,95.94%,95.65%,95.97%,96.09%,96.33%,96.30%,96.30%,96.36%,96.48%,96.63%,96.45%,96.46%,96.65%,96.39%,96.28%,96.82%,96.61%,96.60%,96.56%,96.93%,96.92%,96.88%,96.93%,96.98%,96.78%,69.94%,70.65%,70.97%,73.09%,76.33%,73.30%,75.30%,79.36%,83.48%,81.63%,86.45%,91.46%,93.65%,93.39%,93.28%,95.82%,96.61%,97.22%,97.26%,97.06%,97.41%,97.33%,97.31%,97.34%,97.19%,97.47%,97.49%,97.43%,97.40%,97.41%,97.38%,97.36%,97.56%,97.53%,97.46%,97.49%,97.43%,97.42%,97.53%,97.47%,97.50%,97.52%,97.59%,97.50%,97.51%,97.51%,97.36%,97.60%,97.67%,97.64%,97.67%,97.65%,97.66%,97.55%,97.60%,97.68%,97.73%,97.72%,97.73%,97.61%,97.72%,97.68%,97.70%,97.63%,97.68%,97.74%,97.76%,97.74%,97.74%,97.76%,97.71%,97.74%,97.84%,97.78%,97.89%,97.77%,97.87%,97.77%,97.72%,97.75%,97.77%,97.74%,97.80%,97.76%,97.83%,97.78%,97.80%,97.82%,97.81%,97.81%,97.84%
FATE,29.88%,31.21%,30.85%,42.82%,47.05%,49.76%,52.45%,54.45%,48.11%,54.71%,56.55%,53.83%,64.97%,54.53%,71.13%,60.11%,55.65%,82.28%,65.51%,88.59%,83.25%,86.53%,91.27%,87.30%,90.82%,87.12%,87.95%,91.52%,91.54%,90.57%,90.73%,91.04%,88.56%,93.10%,89.05%,94.77%,94.13%,94.92%,93.09%,95.61%,96.12%,95.77%,96.77%,95.85%,97.05%,96.53%,96.77%,97.01%,96.35%,97.31%,96.69%,97.47%,96.14%,96.61%,97.43%,96.73%,96.66%,96.17%,96.76%,72.54%,73.29%,73.89%,73.74%,72.24%,74.71%,79.34%,85.98%,81.45%,86.46%,89.65%,89.39%,92.28%,94.82%,94.61%,96.60%,96.56%,94.63%,94.73%,96.42%,97.07%,97.02%,97.14%,96.91%,96.34%,95.95%,96.95%,97.42%,96.89%,97.39%,97.47%,97.45%,97.51%,97.51%,97.45%,97.46%,97.48%,97.45%,97.52%,97.50%,97.55%,97.51%,97.55%,97.51%,97.44%,97.56%,97.52%,97.62%,97.67%,97.65%,97.67%,97.60%,97.63%,97.62%,97.67%,97.70%,97.73%,97.67%,97.73%,97.65%,97.71%,97.66%,97.69%,97.69%,97.72%,97.74%,97.75%,97.75%,97.73%,97.75%,97.78%,97.76%,97.82%,97.78%,97.88%,97.77%,97.80%,97.76%,97.75%,97.75%,97.79%,97.75%,97.82%,97.77%,97.82%,97.80%,97.73%,97.82%,97.83%,97.43%,97.38%
PriChainFL,25.82%,27.81%,39.79%,27.94%,41.03%,47.47%,49.80%,50.46%,52.83%,63.63%,65.43%,67.14%,72.48%,68.02%,73.07%,71.58%,62.46%,65.79%,69.00%,71.67%,81.59%,83.47%,83.78%,84.20%,81.78%,89.09%,88.52%,86.30%,79.75%,82.20%,86.41%,90.74%,88.74%,92.74%,92.54%,93.29%,93.89%,93.74%,90.24%,94.71%,95.34%,95.98%,96.45%,96.46%,96.65%,96.39%,96.28%,96.82%,96.61%,96.60%,96.56%,96.93%,96.92%,96.88%,96.93%,96.98%,96.78%,96.75%,96.73%,91.05%,68.40%,79.39%,85.13%,89.37%,92.17%,93.67%,92.88%,92.34%,91.79%,93.76%,91.82%,93.37%,93.17%,94.20%,96.86%,95.51%,95.84%,94.96%,95.77%,96.73%,96.70%,96.97%,96.47%,95.49%,94.43%,96.40%,97.41%,96.38%,97.36%,97.56%,97.53%,97.46%,97.49%,97.43%,97.42%,97.53%,97.47%,97.50%,97.52%,97.59%,97.50%,97.51%,97.51%,97.36%,97.60%,97.67%,97.64%,97.67%,97.65%,97.66%,97.55%,97.60%,97.68%,97.73%,97.72%,97.73%,97.61%,97.72%,97.68%,97.70%,97.63%,97.68%,97.74%,97.76%,97.74%,97.74%,97.76%,97.71%,97.74%,97.84%,97.78%,97.80%,97.77%,97.87%,97.77%,97.72%,97.75%,97.77%,97.74%,97.80%,97.76%,97.83%,97.78%,97.80%,97.82%,97.65%,97.81%,97.84%,97.04%,96.91%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
